source_file,source_loc,rule_id,target_token,target_line,target_signal,target_fill_status,task_id,sample_id,attempt_idx,parse_ok,transform_changed,status,testbench_passed,judge_fooled,confidence_delta
data_all/adversarial_dataset.metadata.jsonl,line:10000,T20,12,14,,resolved_by_engine,,unknown,,,,,True,,0.4105
data_all/adversarial_dataset.metadata.jsonl,line:10005,T20,2,4,,resolved_by_engine,,unknown,,,,,True,,0.006099999999999994
data_all/adversarial_dataset.metadata.jsonl,line:10007,T20,6,14,,resolved_by_engine,,unknown,,,,,True,,0.09319999999999995
data_all/adversarial_dataset.metadata.jsonl,line:10008,T32,0,4,,resolved_by_engine,,unknown,,,,,True,,0.40059999999999996
data_all/adversarial_dataset.metadata.jsonl,line:10010,T32,0,4,,resolved_by_engine,,unknown,,,,,True,,0.3688
data_all/adversarial_dataset.metadata.jsonl,line:10012,T20,6,1,,resolved_by_engine,,unknown,,,,,True,,0.07200000000000006
data_all/adversarial_dataset.metadata.jsonl,line:1002,T20,4,7,,resolved_by_engine,,unknown,,,,,True,,0.005900000000000016
data_all/adversarial_dataset.metadata.jsonl,line:10020,T20,0,3,,resolved_by_engine,,unknown,,,,,True,,0.14339999999999997
data_all/adversarial_dataset.metadata.jsonl,line:10025,T20,6,1,,resolved_by_engine,,unknown,,,,,True,,0.1623
data_all/adversarial_dataset.metadata.jsonl,line:10027,T20,6,1,,resolved_by_engine,,unknown,,,,,True,,0.07200000000000006
data_all/adversarial_dataset.metadata.jsonl,line:10028,T20,0,3,,resolved_by_engine,,unknown,,,,,True,,0.10250000000000004
data_all/adversarial_dataset.metadata.jsonl,line:1003,T32,0,3,,resolved_by_engine,,unknown,,,,,True,,0.2543000000000001
data_all/adversarial_dataset.metadata.jsonl,line:10030,T20,2,4,,resolved_by_engine,,unknown,,,,,True,,0.01639999999999997
data_all/adversarial_dataset.metadata.jsonl,line:10032,T32,1,7,,resolved_by_engine,,unknown,,,,,True,,0.21640000000000004
data_all/adversarial_dataset.metadata.jsonl,line:10034,T32,1,7,,resolved_by_engine,,unknown,,,,,True,,0.33130000000000004
data_all/adversarial_dataset.metadata.jsonl,line:10035,T32,2,9,,resolved_by_engine,,unknown,,,,,True,,0.10310000000000008
data_all/adversarial_dataset.metadata.jsonl,line:10038,T20,11,16,,resolved_by_engine,,unknown,,,,,True,,0.3316
data_all/adversarial_dataset.metadata.jsonl,line:10040,T32,4,8,,resolved_by_engine,,unknown,,,,,True,,0.3965000000000001
data_all/adversarial_dataset.metadata.jsonl,line:10045,T20,7,12,,resolved_by_engine,,unknown,,,,,True,,0.40780000000000005
data_all/adversarial_dataset.metadata.jsonl,line:10046,T32,1,4,,resolved_by_engine,,unknown,,,,,True,,0.09630000000000005
