path,size_bytes,file_type,classification,rule_ids_found,rule15_ids_found,structured_rule_keys,structured_result_keys,structured_attack_keys,rule_kw,result_kw,attack_kw,readable,notes
data_all/__pycache__/filter_and_convert_sft.cpython-310.pyc,13096,binary_like,weak_rule_trace_only,T38|T39|T41|T45|T46|T47,T41|T45|T47,,,,0,0,0,True,
data_all/__pycache__/filter_and_convert_sft.cpython-39.pyc,12548,binary_like,weak_rule_trace_only,T04|T07|T09|T10|T11|T12|T13|T16|T18|T19|T20|T30|T31|T32|T34|T35|T39|T43|T44|T45|T46|T47,T07|T09|T10|T12|T19|T20|T30|T31|T32|T34|T45|T47,,,,0,0,0,True,
data_all/__pycache__/supplement_missing_rules.cpython-39.pyc,7095,binary_like,weak_rule_trace_only,T02|T03|T05|T07|T08|T09|T10|T11|T12|T18|T19|T35|T36|T37|T38|T39|T41|T42|T43|T44|T45|T47|T48,T03|T07|T09|T10|T12|T19|T41|T45|T47|T48,,,,0,0,0,True,
data_all/_archives/data_sft_legacy_20260322_223357.tar.gz,35398285,text_or_other,weak_rule_trace_only,T00|T01|T02|T03|T05|T06|T07|T08|T10|T12|T13|T14|T15|T16|T17|T18|T21|T23|T25|T27|T28|T29|T30|T32|T33|T34|T36|T39|T40|T41|T43|T44|T45|T47|T48|T49|T50|T51|T53|T54|T55|T57|T58|T60|T61|T62|T63|T65|T66|T68|T69|T70|T71|T72|T73|T74|T76|T79|T81|T82|T84|T85|T86|T87|T88|T89|T8۲|T90|T91|T92|T93|T95|T96|T97|T99,T03|T07|T10|T12|T30|T32|T34|T41|T45|T47|T48,,,,0,0,0,True,
data_all/adversarial_dataset.jsonl,102954391,jsonl,medium_rule_attack_intent,T01|T04|T05|T06|T08|T09|T10|T11|T12|T13|T16|T20|T30|T31|T32|T34|T35|T39|T46,T09|T10|T12|T20|T30|T31|T32|T34,,,,86143,0,86143,True,
data_all/adversarial_dataset.metadata.jsonl,71828484,jsonl,strong_rule_attack_result,T01|T04|T05|T06|T08|T09|T10|T11|T12|T13|T16|T20|T30|T31|T32|T34|T35|T39|T46,T09|T10|T12|T20|T30|T31|T32|T34,transform_id,attack_success|new_verdict|testbench_passed|verdict_flipped,parameters|target_token,86143,86143,86143,True,
data_all/data/attack_dataset.jsonl,19288,jsonl,strong_rule_attack_result,T07|T19|T20|T32|T34|T45|T47|T48,T07|T19|T20|T32|T34|T45|T47|T48,attack_rule,judge_fooled|status|testbench_passed,,20,6,0,True,
data_all/data/attack_dataset_20260326_1724.jsonl,338476,jsonl,strong_rule_attack_result,T03|T09|T19|T20|T31|T32|T34|T41|T45,T03|T09|T19|T20|T31|T32|T34|T41|T45,attack_rule,judge_fooled|status|testbench_passed,,54,54,0,True,
data_all/data/attack_dataset_20260326_1746.jsonl,1044288,jsonl,strong_rule_attack_result,T03|T07|T09|T19|T20|T31|T32|T34|T41|T45|T48,T03|T07|T09|T19|T20|T31|T32|T34|T41|T45|T48,attack_rule,judge_fooled|status|testbench_passed,,156,156,3,True,
data_all/data/attack_dataset_20260326_1805.jsonl,586122,jsonl,strong_rule_attack_result,T03|T07|T09|T20|T31|T32|T41|T45|T48,T03|T07|T09|T20|T31|T32|T41|T45|T48,attack_rule,judge_fooled|status|testbench_passed,,87,87,0,True,
data_all/data/attack_dataset_20260326_1816.jsonl,82348850,jsonl,strong_rule_attack_result,T03|T07|T09|T10|T12|T19|T20|T30|T31|T32|T34|T41|T45|T47|T48,T03|T07|T09|T10|T12|T19|T20|T30|T31|T32|T34|T41|T45|T47|T48,attack_rule,judge_fooled|status|testbench_passed,,12267,12267,559,True,
data_all/data/attack_dataset_cleaned.jsonl,50305021,jsonl,strong_rule_attack_result,T03|T07|T09|T10|T12|T19|T20|T30|T31|T32|T34|T41|T45|T47|T48,T03|T07|T09|T10|T12|T19|T20|T30|T31|T32|T34|T41|T45|T47|T48,attack_rule,judge_fooled|status|testbench_passed,,7598,7598,377,True,
data_all/data/attack_dataset_llm.jsonl,49153,jsonl,strong_rule_attack_result,T07|T12|T19|T20|T31|T32|T34|T45|T47|T48,T07|T12|T19|T20|T31|T32|T34|T45|T47|T48,attack_rule,judge_fooled|status|testbench_passed,,55,19,10,True,
data_all/data/attack_dataset_llm_fixed.jsonl,58980,jsonl,strong_rule_attack_result,T07|T12|T19|T20|T31|T32|T34|T45|T47|T48,T07|T12|T19|T20|T31|T32|T34|T45|T47|T48,attack_rule,judge_fooled|status|testbench_passed,,58,22,2,True,
data_all/data/attack_dataset_llm_v2.jsonl,52248,jsonl,strong_rule_attack_result,T07|T12|T19|T20|T31|T32|T34|T45|T47|T48,T07|T12|T19|T20|T31|T32|T34|T45|T47|T48,attack_rule,judge_fooled|status|testbench_passed,,55,19,2,True,
data_all/data/attack_dataset_llm_v3.jsonl,60177,jsonl,strong_rule_attack_result,T07|T12|T19|T20|T31|T32|T34|T45|T47|T48,T07|T12|T19|T20|T31|T32|T34|T45|T47|T48,attack_rule,judge_fooled|status|testbench_passed,,58,22,1,True,
data_all/data/attack_dataset_testbench_passed.jsonl,16121115,jsonl,strong_rule_attack_result,T03|T07|T09|T10|T12|T19|T20|T31|T32|T34|T41|T45|T48,T03|T07|T09|T10|T12|T19|T20|T31|T32|T34|T41|T45|T48,attack_rule,judge_fooled|status|testbench_passed,,2472,2472,20,True,
data_all/data/attack_dataset_testbench_passed1.jsonl,770842388,jsonl,strong_rule_attack_result,T03|T07|T09|T10|T12|T19|T20|T30|T31|T32|T34|T41|T45|T47|T48,T03|T07|T09|T10|T12|T19|T20|T30|T31|T32|T34|T41|T45|T47|T48,attack_rule,judge_fooled|status|testbench_passed,,115855,115855,5754,True,
data_all/data/cache/candidates_cache.pkl,929832,binary_like,none,,,,,,0,0,0,True,
data_all/data/coverage_test.json,1744666,json,medium_rule_attack_intent,T03|T19|T20|T31|T32|T34|T45,T03|T19|T20|T31|T32|T34|T45,,,,0,0,1,True,json_list_len=206
data_all/data/data/__pycache__/filter_and_convert_sft.cpython-39.pyc,12548,binary_like,weak_rule_trace_only,T04|T07|T09|T10|T11|T12|T13|T16|T18|T19|T20|T30|T31|T32|T34|T35|T39|T43|T44|T45|T46|T47,T07|T09|T10|T12|T19|T20|T30|T31|T32|T34|T45|T47,,,,0,0,0,True,
data_all/data/data/adversarial_dataset.jsonl,102954391,jsonl,medium_rule_attack_intent,T01|T04|T05|T06|T08|T09|T10|T11|T12|T13|T16|T20|T30|T31|T32|T34|T35|T39|T46,T09|T10|T12|T20|T30|T31|T32|T34,,,,86143,0,86143,True,
